url	first_seen	ats	company	sector	title	location	unclear
https://job-boards.greenhouse.io/stockx/jobs/8420553002	2026-05-10	greenhouse	StockX	e-commerce	Director, Category Growth (General Manager)	Remote, USA	0
https://boards.greenhouse.io/faire/jobs/8502816002?gh_jid=8502816002	2026-05-10	greenhouse	Faire	e-commerce	GTM Strategy & Operations Lead	San Francisco, CA	0
https://boards.greenhouse.io/faire/jobs/8530585002?gh_jid=8530585002	2026-05-10	greenhouse	Faire	e-commerce	GTM Strategy & Operations Senior Lead	San Francisco, CA	0
https://boards.greenhouse.io/faire/jobs/8443090002?gh_jid=8443090002	2026-05-10	greenhouse	Faire	e-commerce	Product Leadership, Value Pillar	San Francisco, CA	0
https://boards.greenhouse.io/faire/jobs/8520814002?gh_jid=8520814002	2026-05-10	greenhouse	Faire	e-commerce	Program Manager, Marketplace Operations	San Francisco, CA	0
https://boards.greenhouse.io/faire/jobs/8437997002?gh_jid=8437997002	2026-05-10	greenhouse	Faire	e-commerce	Program Manager, Revenue Strategy and Operations	San Francisco, CA	0
https://boards.greenhouse.io/faire/jobs/8541582002?gh_jid=8541582002	2026-05-10	greenhouse	Faire	e-commerce	Senior Growth Partnerships Manager	New York City, NY	0
https://boards.greenhouse.io/faire/jobs/8425967002?gh_jid=8425967002	2026-05-10	greenhouse	Faire	e-commerce	Staff Product Manager, Brand	New York City, NY; San Francisco, CA	0
https://boards.greenhouse.io/faire/jobs/8284690002?gh_jid=8284690002	2026-05-10	greenhouse	Faire	e-commerce	Staff Product Manager, FinTech & Ops	New York City, NY; San Francisco, CA	0
https://boards.greenhouse.io/faire/jobs/8462945002?gh_jid=8462945002	2026-05-10	greenhouse	Faire	e-commerce	Staff Product Manager, Pricing	New York City, NY; San Francisco, CA	0
https://boards.greenhouse.io/faire/jobs/8431976002?gh_jid=8431976002	2026-05-10	greenhouse	Faire	e-commerce	Staff Product Manager, Search Algorithms	New York City, NY; San Francisco, CA	0
https://app.careerpuck.com/job-board/lyft/job/8535144002?gh_jid=8535144002	2026-05-10	greenhouse	Lyft	e-commerce	Business Operations Manager	Nashville, TN	1
https://app.careerpuck.com/job-board/lyft/job/8534527002?gh_jid=8534527002	2026-05-10	greenhouse	Lyft	e-commerce	Global Equity Program Manager	San Francisco, CA	0
https://app.careerpuck.com/job-board/lyft/job/8318645002?gh_jid=8318645002	2026-05-10	greenhouse	Lyft	e-commerce	Group Product Manager, Core Rider	San Francisco, CA	0
https://app.careerpuck.com/job-board/lyft/job/8490440002?gh_jid=8490440002	2026-05-10	greenhouse	Lyft	e-commerce	Group Product Manager II, Pricing	San Francisco, CA	0
https://app.careerpuck.com/job-board/lyft/job/8513755002?gh_jid=8513755002	2026-05-10	greenhouse	Lyft	e-commerce	Group Product Manager, Verticals	San Francisco, CA	0
https://app.careerpuck.com/job-board/lyft/job/8538810002?gh_jid=8538810002	2026-05-10	greenhouse	Lyft	e-commerce	Manager, AV Strategy & Business Operations	New York, NY	0
https://app.careerpuck.com/job-board/lyft/job/8525086002?gh_jid=8525086002	2026-05-10	greenhouse	Lyft	e-commerce	Product Manager, Driver Experience	New York, NY	0
https://app.careerpuck.com/job-board/lyft/job/8430532002?gh_jid=8430532002	2026-05-10	greenhouse	Lyft	e-commerce	Product Manager, Matching & Fulfillment	Seattle, WA	0
https://app.careerpuck.com/job-board/lyft/job/8514382002?gh_jid=8514382002	2026-05-10	greenhouse	Lyft	e-commerce	Product Manager, Premium Modes	San Francisco, CA	0
https://app.careerpuck.com/job-board/lyft/job/8509124002?gh_jid=8509124002	2026-05-10	greenhouse	Lyft	e-commerce	Program Manager, Process Excellence & Standards	Nashville, TN	1
https://app.careerpuck.com/job-board/lyft/job/8505117002?gh_jid=8505117002	2026-05-10	greenhouse	Lyft	e-commerce	Program Manager, Technology Ops	Toronto, Canada	1
https://app.careerpuck.com/job-board/lyft/job/8504066002?gh_jid=8504066002	2026-05-10	greenhouse	Lyft	e-commerce	Senior Design Program Manager, Design Foundations & AI Transformation	New York, NY	0
https://app.careerpuck.com/job-board/lyft/job/8514397002?gh_jid=8514397002	2026-05-10	greenhouse	Lyft	e-commerce	Senior Product Manager - Autonomous Vehicles (AV) 	San Francisco, CA	0
https://app.careerpuck.com/job-board/lyft/job/8515875002?gh_jid=8515875002	2026-05-10	greenhouse	Lyft	e-commerce	Senior Program Manager, Autonomous Vehicles	San Francisco, CA	0
https://app.careerpuck.com/job-board/lyft/job/8433701002?gh_jid=8433701002	2026-05-10	greenhouse	Lyft	e-commerce	Senior Technical Program Manager, Product & Rider Loyalty	San Francisco, CA	0
https://app.careerpuck.com/job-board/lyft/job/8508202002?gh_jid=8508202002	2026-05-10	greenhouse	Lyft	e-commerce	Senior Tech Ops Program Manager	Toronto, Canada	1
https://app.careerpuck.com/job-board/lyft/job/8461144002?gh_jid=8461144002	2026-05-10	greenhouse	Lyft	e-commerce	Staff Product Manager, Lyft AI Platform & Marketplace Applications	San Francisco, CA	0
https://app.careerpuck.com/job-board/lyft/job/8508873002?gh_jid=8508873002	2026-05-10	greenhouse	Lyft	e-commerce	Staff Technical Program Manager, Mergers & Acquisition	San Francisco, CA	0
https://instacart.careers/job/?gh_jid=7826880	2026-05-10	greenhouse	Instacart	e-commerce	Bilingual Staff Technical Program Manager, Global Enterprise Fulfillment Platform	United States - Remote	0
https://instacart.careers/job/?gh_jid=7707793	2026-05-10	greenhouse	Instacart	e-commerce	Director, Growth Creative	United States - Remote	0
https://instacart.careers/job/?gh_jid=7597064	2026-05-10	greenhouse	Instacart	e-commerce	Principal Product Manager, Agentic Commerce	United States - Remote	0
https://instacart.careers/job/?gh_jid=7813002	2026-05-10	greenhouse	Instacart	e-commerce	Senior Director, Enterprise Delivery and Growth	Canada - Remote (ON, AB, BC, or NS Only)	1
https://instacart.careers/job/?gh_jid=7744298	2026-05-10	greenhouse	Instacart	e-commerce	Senior Product Manager, Enterprise Picking & Tools	Canada - Remote (ON, AB, BC, or NS Only)	1
https://instacart.careers/job/?gh_jid=7769926	2026-05-10	greenhouse	Instacart	e-commerce	Senior Product Manager, Fraud & Trust	Canada - Remote (ON, AB, BC, or NS Only)	1
https://instacart.careers/job/?gh_jid=7838738	2026-05-10	greenhouse	Instacart	e-commerce	Senior Product Manager, In-Store Integrations	Canada - Remote (ON, AB, BC, or NS Only)	1
https://instacart.careers/job/?gh_jid=7904851	2026-05-10	greenhouse	Instacart	e-commerce	Senior Product Manager, Shopping Experience	United States - Remote	0
